,Hotel_Names,Address,City,Ratings,Votes,Prices,Features
236,OYO Flagship Hotel La Bella,near Haiderpur metro station,['Delhi'],['3.0'],['2'],₹1110, Elevator  Free Wifi  Geyser  
237,OYO Flagship Hotel DP Palace ,Delhinull,"['Delhi', 'Delhi']",['3.0'],['43'],₹1353, Free Wifi  Geyser  Power backup  
238,OYO Flagship Kashvi Palace Near Usmaanpur 1st pusta,1 St Pusta Near Walia Public Shool Usmaanpur,['Delhi'],['3.5'],['231'],₹1232, Geyser  Power backup  AC  
239,OYO Kl Khari Inn,"Near Ashok Park Main, Rampura Marg",['Delhi'],['3.9'],['536'],₹1247, Parking facility  Reception  CCTV cameras  
240,OYO Townhouse 118 Gagan Vihar Near V3S Mall,"Near RG Stone hospital , Hargobind Enclave",['Delhi'],['3.2'],['1600'],₹2270, Hair Dryer  Free Wifi  CCTV cameras  
241,OYO Flagship Hotel Luxury Paradise,Plot No.560 Mansarovar Park Main G.T Road Shahdara Delhi-32,"['Delhi', 'Delhi']",['4.7'],['5'],₹1232, Free Wifi  Geyser  Power backup  
242,OYO Flagship The Knight Stay,Rohininull,['Delhi'],['5.0'],['57'],₹1476, Free Wifi  Geyser  Power backup  
243,OYO The Olive Inn,"Near Karol Bagh, Channa Market",['Delhi'],['4.3'],['651'],₹1595, Elevator  Free Wifi  Geyser  
244,OYO Flagship Hotel S Inn,Paharganj New Delhi,"['Delhi', 'Delhi']",['4.2'],['319'],₹1596, Elevator  Free Wifi  Geyser  
245,OYO Flagship Hotel Deva Inn,Shahdara,['Delhi'],['5.0'],['8'],₹1233, Free Wifi  Geyser  Power backup  
246,OYO Flagship Hotel CG International,Near New Delhi Railway Station,"['Delhi', 'Delhi']",['2.5'],['13'],₹1354, Elevator  Reception  Free Wifi  
247,OYO Hotel J P Inn Near Patel Nagar Metro Station,"Near Patel Nagar Metro, Block 1",['Delhi'],['4.1'],['762'],₹1962, Reception  Free Wifi  Power backup  
248,OYO Hotel Grand Peepal,"Near Karol Bagh metro, WEA",['Delhi'],['3.9'],['480'],₹1713, Elevator  Free Wifi  Geyser  
249,OYO Flagship Hotel Happiness Inn Near Tdi Mall,Karampura,['Delhi'],['3.8'],['258'],₹1476, AC  TV 
250,Hotel Green Palace Near jagatpuri,H.no.-a3 Block A Jagat Puri Red Light Near Sbi Bank Jagat Puri East Delhi,"['Delhi', 'Delhi']",['3.8'],['296'],₹1491, Private entrance  Free Wifi  CCTV cameras  
251,OYO Hotel Blue Stone,"Near NSP Metro , Shingaipur",['Delhi'],['3.5'],['16'],₹1354, Parking facility  Free Wifi  Geyser  
252,OYO Flagship 12739 Mahesh Inn,Near New Delhi Railway Station,['Delhi'],['3.3'],['54'],₹1476, Elevator  Free Wifi  Geyser  
253,OYO Flagship  Hotel Neha Inn Near Jama Masjid,Paharganj (near Delhi Railway Station),"['Delhi', 'Delhi']",['2.4'],['35'],₹1190, Elevator  Reception  Free Wifi  
254,OYO Flagship Metro City Guest House,India ,['Delhi'],['2.4'],['28'],₹1228, Reception  Free Wifi  Geyser  
255,OYO Flagship Hotel Family Deluxe,Raj block G T Road Naveen Sahadara Delhi,"['Delhi', 'Delhi']",['4.5'],['43'],₹1767, Elevator  Free Wifi  Geyser  
256,OYO Townhouse 286 Near Kohat Enclave Metro Station ,Near Pitampura Metro Station,['Delhi'],['3.5'],['200'],₹2199, Parking facility  Elevator  Free Wifi  
257,OYO Flagship King Guest House,Shahdara,['Delhi'],[],[],₹1233, Elevator  Free Wifi  Geyser  
258,OYO Flagship Hotel Nasa Inn,Arya Nagar,['Delhi'],['3.7'],['3'],₹1110, Free Wifi  Geyser  Power backup  
259,Collection O Metro View Ashok Vihar Near Shalimar Bagh Metro Station,Pocket C 1,['Delhi'],['3.8'],['73'],₹1713, Free Wifi  Geyser  Power backup  
260,OYO Flagship 79578 I Stay,"Babli Chowk, Near Tooti Chowk, Mail Bazar, Paharganj",[],['3.4'],['17'],₹1232, Doctor on call  Ticket tour assistance  Reception  
261,OYO Flagship Hotel Black Inn,jockey showroom building opposite red tape Sant Nagar burari,['Delhi'],['4.7'],['7'],₹1597, Free Wifi  Geyser  Power backup  
262,OYO Flagship Hotel Payal Near Gurudwara Shri Bangla Sahib,"Near R K Ashram Metro Station, Paharganj",['Delhi'],['2.3'],['24'],₹1232, AC  TV 
263,OYO Townhouse VR Residency,Shakurpur,['Delhi'],['3.5'],['42'],₹1713, Elevator  Free Wifi  Geyser  
264,OYO Flagship 811088 Hotel King Palace,Karol Bagh,['Delhi'],['5.0'],['11'],₹1961, Free Wifi  Geyser  Power backup  
265,OYO Flagship 85202 International Guest House,New Usmanpur,['Delhi'],['3.5'],['175'],₹1491, AC  TV 
266,OYO Flagship Hotel Gush International,"626, Main Bazar, Chowk Bawli , 6- Tooti, Paharganj",[],['2.7'],['62'],₹1469, Reception  Free Wifi  Power backup  
267,OYO Flagship The Arrow ,G - 70  G-block near Vijay chowk Laxmi Nagar,['Delhi'],['0.0'],['0'],₹1353, Free Wifi  Geyser  Power backup  
268,OYO Flagship 80769 Seven Heaven ,B-54 Lawrence Road Industrial Area Near Lawrence Road,['Delhi'],['3.5'],['102'],₹1353, AC  TV 
269,OYO Flagship Mannt Stay,1/24 gali no. 1 Lalita park Near behaind gurudwara Laxmi nagar 110092 Gurudwara Laxmi nagar,['Delhi'],['4.0'],['82'],₹2082, Free Wifi  Geyser  Power backup  
270,OYO Flagship Star Guest House,Shahdara,['Delhi'],[],[],₹1233, Free Wifi  Geyser  Power backup  
271,Hotel City Plaza,Near Laxmi Nagar,['Delhi'],['3.5'],['30'],₹1476, AC  TV 
272,Flagship Rs Hotels Near M2k Cinemas Rohini,Shiva Market,['Delhi'],['3.6'],['174'],₹1607, Private entrance  Reception  Free Wifi  
273,Capital O Hotel Sunberry,New Delhi,"['Delhi', 'Delhi']",['3.3'],['202'],₹1906, Parking facility  Reception  Free Wifi  
274,OYO Flagship 86216  Hotel Mini Stays,Central Delhi,"['Delhi', 'Delhi']",['3.9'],['129'],₹2204, Reception  Free Wifi  Caretaker  
275,Capital O Grand Central Near Gurudwara Shri Bangla Sahib,Near Karol Bagh metro station,[],['3.5'],['102'],₹1840, Parking facility  Reception  Free Wifi  
276,Super OYO Collection O  980 Hotel Ramhan,"Near Patel Nagar Metro Station, East Patel Nagar",['Delhi'],['4.3'],['144'],₹2340, Free Wifi  Geyser  Power backup  
277,OYO 811874 Hotel Maharaja,Address- Shop No : 30-32-34 Old Market Main Bus Stand Timarpur Delhi 110054.  Opposite DTC Bus Stand,"['Delhi', 'Delhi']",['2.2'],['27'],₹1840, Reception  Designated smoking area  Free Wifi  
278,OYO Flagship Dev Palace  Hotel,"641-b/1,loni road shahdara delhi",[],['4.0'],['1'],₹1597, Free Wifi  Geyser  Power backup  
279,OYO Flagship Hotel Thanks,B 53 GANESH NAGAR 2 EXT. SHAKARPUR DELHI,['Delhi'],['3.8'],['7'],₹2204, Doctor on call  Ticket tour assistance  Reception  
280,OYO Flagship 80919 Hotel Vinayaka Inn Near Gurudwara Shri Bangla Sahib,Pahar ganj,['Delhi'],['4.2'],['105'],₹2204, Free Wifi  Geyser  Power backup  
281,OYO Flagship Ram Bnb,Faiz Road Karol Bagh New Delhi,"['Delhi', 'Delhi']",['3.6'],['140'],₹1718, Elevator  Electric Kettle  Reception  
282,Townhouse 537 Regent Intercontinental,"Near Karol Bagh, Krishnanagar",['Delhi'],['2.7'],['85'],₹3629, AC  TV  Seating area 
283,Collection O 83831 Golden Key Near TDI Mall,Near Rajdhani College,['Delhi'],['3.1'],['372'],₹2209, Parking facility  Free Wifi  Power backup  
284,OYO  Flagship Ls Banquet & Rooms,"Near Harsh Vihar, Shakti Vihar",['Delhi'],['3.0'],['3'],₹1597, AC  TV 
285,Flagship Hansa Residency Near Akshardham,Laxmi Nagar,['Delhi'],['3.5'],['124'],₹1718, Parking facility  Free Wifi  Power backup  
286,Townhouse 619 Hotel Church House Rohini Near Rohini Sector 18 Metro Station,"Above Axis Bank, Near JIMS, Sector 15, Rohini",['Delhi'],['3.9'],['325'],₹2074, Free Wifi  Geyser  Power backup  
287,OYO Flagship Diamond Inn,R Block Navin Shahdara,['Delhi'],['3.3'],['13'],₹2325, AC  TV 
288,OYO Flagship 35359 Hotel Victoria Dx,Near New Delhi Railway Station,"['Delhi', 'Delhi']",['3.5'],['6'],₹2204, Free Wifi  Geyser  Power backup  
289,OYO Country Residency,Laxmi Nagar,['Delhi'],['3.3'],['253'],₹1835, AC  TV 
290,OYO Flagship 80818 Hotel Metro Inn Near Gurudwara Shri Bangla Sahib,Aram Bagh Paharganj Delhi,"['Delhi', 'Delhi']",['3.8'],['50'],₹2204, AC  TV  AC  
291,Flagship Ocean Blue Residency Near V3S Mall, A-14 Pridarshni Vihar Laxminagar,['Delhi'],['3.5'],['81'],₹2077, AC  TV 
292,OYO Flagship DP Dx,"Near Rk ashram marg , Pahar Ganj",['Delhi'],['1.8'],['4'],₹1718, Doctor on call  Reception  Free Wifi  
293,OYO Flagship 81741 Hotel Naseeb Near Jama Masjid,Paharganj,['Delhi'],['4.2'],['73'],₹2204,
294,OYO Flagship 66745 Le Orange,"8880-81, Gali Number 2, Multani Dhanda, Paharganj, New Delhi - 110055","['Delhi', 'Delhi']",['3.5'],['84'],₹2204, Reception  Free Wifi  Power backup  
295,Flagship Leisurrestay,I.P.Extension,['Delhi'],['3.5'],['9'],₹2325, AC  TV 
296,OYO Flagship Golden Petal,Jheel Khurenja Geeta Colony,['Delhi'],['3.5'],['16'],₹2446, Elevator  Free Wifi  Geyser  
297,OYO Happy Inn,Near Shahdara Metro Station,['Delhi'],['3.5'],['52'],₹2325, Private entrance  Parking facility  Reception  
298,Collection O Hotel Swisston Palace,W.E.A Ajmal khan Road  Karol Bagh Near Metro Pillar 99,['Delhi'],['2.9'],['19'],₹2446, Free Wifi  Geyser  Power backup  
299,OYO Flagship Hotel Vista Inn,WEA Karol Bagh,['Delhi'],['3.7'],['4'],₹2446, Elevator  Free Wifi  Geyser  
300,Flagship The Mumbai Inn Near Chhatrapati Shivaji International Airport,The Mumbai Inn 90 Feet Road Next To Peninsula Near Tilak Nagar Gate Sakinaka Mumbai,"['Mumbai', 'Mumbai', 'Mumbai']",['3.4'],['418'],₹1399, Hair Dryer  Reception  Security  
301,OYO Flagship 812940 Hotel Nk Grand,Asalpha,['Mumbai'],['3.4'],['63'],₹1359, Free Wifi  Geyser  Power backup  
302,POP 81030D Hotel Crystal Park Jogeshwari Mumbai,"SV ROAD, NEAR JVLR JUNCTION, NEXT TO MARKAZ HOTEL, JOGESHWARI (W). MUMBAI -400012",[],['3.7'],['74'],₹1886, Free Wifi  Geyser  Power backup  
303,OYO Flagship Hotel Kailash Park Near Chhatrapati Shivaji International Airport,"Near Sakinaka Metro station, Andheri East",['Mumbai'],['4.0'],['124'],₹1722, Free Wifi  Geyser  CCTV cameras  
304,Townhouse OAK Hotel Shubhangan Near Juhu Beach,"Hotel Shubhangan-21st road,Khar West",[],['3.5'],['63'],₹2446, Reception  Ticket tour assistance  Caretaker  
305,OYO Flagship 8544 Hotel Bentleys,"Near Sakinaka Metro Station, Andheri",['Mumbai'],['3.6'],['87'],₹1812, AC  TV 
306,OYO SilverKey Hotel Manas Residency,Chembur Eastnull,['Mumbai'],['4.2'],['347'],₹2288, Reception  Free Wifi  Geyser  
307,Capital O 80951 Hotel Vertigo Suite,India,['Mumbai'],['3.8'],['27'],₹2544, Doctor on call  Reception  Caretaker  
308,OYO Hotel Blue Sapphire Residency Near Chhatrapati Shivaji International Airport,"Near The Crescent Business Park, Sakinaka",['Mumbai'],['3.9'],['1123'],₹2165, Reception  Free Wifi  Card payment  
309,OYO Hotel Blue Sea Near Chhatrapati Shivaji International Airport,"On main street, Near Asalpha Metro Station, Ghatkopar",['Mumbai'],['3.2'],['1555'],₹1854, Free Wifi  Geyser  CCTV cameras  
310,OYO Hotel Blue Ocean Near R City Mall,"kailash industrial complex, near kailash business park, vikhroli west",['Mumbai'],['4.2'],['324'],₹2195, Free Wifi  Geyser  CCTV cameras  
311,Collection O Golden Tulipz Boutique,Kurla West,['Mumbai'],['3.7'],['683'],₹2593, Reception  Free Wifi  Refrigerator  
312,Collection O 84249 Hotel Ulife,Andheri(e),['Mumbai'],['3.9'],['826'],₹1831, Reception  Free Wifi  Caretaker  
313,OYO Blue Pearl Residency Near Chhatrapati Shivaji International Airport,"On main street, Near Asalpha Metro Station, Ghatkopar",['Mumbai'],['3.5'],['696'],₹1956, Free Wifi  Card payment  Microwave  
314,OYO Hotel Royal Grand Near Chhatrapati Shivaji International Airport,"Near Sakinaka Metro Station, Andheri East",['Mumbai'],['3.6'],['180'],₹1961, Free Wifi  Geyser  CCTV cameras  
315,OYO Delight Inn,Maharashtra India,['Mumbai'],['3.3'],['554'],₹1864, Reception  Free Wifi  Caretaker  
316,OYO Hotel Blue Inn Residence Near R City Mall,"Kailash Industrial Complex, near Kailash Business Park, Vikhroli West Mumbai",['Mumbai'],['3.2'],['602'],₹1671, Free Wifi  Seating area  AC  
317,OYO Flagship 64671 Royal Aqua,"On main street, Near Yamaha Showroom, Andheri East",['Mumbai'],['3.3'],['174'],₹1966, Free Wifi  Geyser  Power backup  
318,OYO Mumbai Paying Guest,101 / 1st floor above prafull hall opposite sita sindhu bhavan 8th road Santacruz east,['Mumbai'],['5.0'],['3'],₹2490, Free Wifi  Geyser  Power backup  
319,OYO Flagship 79617 Hotel Ahlan International,Saki Vihar Road,['Mumbai'],['3.7'],['163'],₹1728, Reception  Caretaker  Security  
320,OYO Royal Inn Near Versova Beach,"Near Jankidevi Public School Road, Varsova",['Mumbai'],['4.1'],['460'],₹2456, Parking facility  Free Wifi  Geyser  
321,OYO Hotel Greenforest Near Airport Road Metro Station,"Near Axis Bank, Customs Colony",['Mumbai'],['3.6'],['502'],₹1971, Parking facility  Free Wifi  Card payment  
